episode,reward,episode_length,timestep
1,-21.0,914,224
2,-20.0,843,426
3,-21.0,825,626
4,-21.0,852,832
5,-21.0,764,1021
6,-21.0,824,1222
7,-21.0,946,1454
8,-20.0,843,1656
9,-21.0,824,1859
10,-19.0,1027,2110
11,-21.0,820,2310
12,-21.0,910,2530
13,-20.0,992,2774
14,-21.0,852,2983
15,-21.0,824,3182
16,-21.0,764,3366
17,-21.0,764,3555
18,-20.0,901,3775
19,-21.0,829,3980
20,-19.0,1000,4225
21,-21.0,764,4411
22,-20.0,1023,4659
23,-21.0,842,4862
24,-21.0,845,5066
25,-21.0,842,5274
26,-21.0,915,5497
27,-21.0,1000,5744
28,-21.0,792,5940
29,-21.0,825,6144
30,-20.0,898,6362
31,-20.0,931,6592
32,-21.0,864,6804
33,-21.0,764,6992
34,-21.0,975,7227
35,-21.0,764,7409
36,-20.0,902,7629
37,-21.0,906,7852
38,-21.0,764,8036
39,-20.0,1026,8284
40,-20.0,907,8506
41,-21.0,903,8728
42,-20.0,957,8962
43,-21.0,811,9161
44,-20.0,897,9377
45,-21.0,826,9575
46,-21.0,825,9775
47,-21.0,783,9968
48,-21.0,764,10155
49,-21.0,764,10342
50,-21.0,764,10531
51,-21.0,764,10714
52,-21.0,764,10896
53,-21.0,764,11081
54,-21.0,764,11270
55,-21.0,764,11459
56,-21.0,764,11646
57,-21.0,764,11831
58,-21.0,764,12017
59,-21.0,764,12206
60,-21.0,764,12388
61,-21.0,764,12573
62,-21.0,764,12759
63,-21.0,764,12943
64,-21.0,764,13131
65,-21.0,764,13319
66,-21.0,764,13502
67,-21.0,764,13689
68,-21.0,764,13872
69,-21.0,764,14056
70,-21.0,764,14242
71,-21.0,764,14424
72,-21.0,764,14607
73,-21.0,764,14793
74,-21.0,764,14975
75,-21.0,764,15158
76,-21.0,764,15343
77,-21.0,764,15530
78,-21.0,783,15719
79,-21.0,764,15906
80,-21.0,764,16093
81,-21.0,792,16284
82,-20.0,871,16493
83,-21.0,824,16691
84,-21.0,826,16893
85,-21.0,850,17103
86,-21.0,792,17298
87,-21.0,887,17512
88,-21.0,764,17696
89,-21.0,764,17884
90,-21.0,792,18078
91,-21.0,793,18272
92,-21.0,764,18460
93,-21.0,764,18646
94,-21.0,764,18832
95,-21.0,826,19033
96,-21.0,764,19220
97,-21.0,826,19421
98,-21.0,782,19609
99,-21.0,764,19794
100,-21.0,826,19992
