episode,reward,episode_length,timestep
1,-21.0,914,224
2,-20.0,843,426
3,-21.0,825,626
4,-21.0,852,832
5,-21.0,764,1021
6,-21.0,824,1222
7,-21.0,946,1454
8,-20.0,843,1656
9,-21.0,824,1859
10,-19.0,1027,2110
11,-21.0,820,2310
12,-21.0,910,2530
13,-20.0,992,2774
14,-21.0,852,2983
15,-21.0,824,3182
16,-21.0,764,3366
17,-21.0,764,3555
18,-20.0,901,3775
19,-21.0,829,3980
20,-19.0,1000,4225
21,-21.0,764,4411
22,-20.0,1023,4659
23,-21.0,842,4862
24,-21.0,845,5066
25,-21.0,842,5274
26,-21.0,915,5497
27,-21.0,1000,5744
28,-21.0,792,5940
29,-21.0,825,6144
30,-20.0,898,6362
31,-20.0,931,6592
32,-21.0,864,6804
33,-21.0,764,6992
34,-21.0,975,7227
35,-21.0,764,7409
36,-20.0,902,7629
37,-21.0,906,7852
38,-21.0,764,8036
39,-20.0,1026,8284
40,-20.0,907,8506
41,-21.0,903,8728
42,-20.0,957,8962
43,-21.0,811,9161
44,-20.0,897,9377
45,-21.0,826,9575
46,-21.0,825,9775
47,-21.0,783,9968
48,-21.0,764,10155
49,-21.0,783,10347
50,-21.0,764,10536
51,-21.0,764,10719
52,-21.0,764,10901
53,-21.0,764,11086
54,-21.0,764,11275
55,-21.0,764,11464
56,-21.0,764,11651
57,-21.0,764,11836
58,-21.0,764,12022
59,-21.0,764,12211
60,-21.0,783,12398
61,-21.0,764,12583
62,-21.0,764,12769
63,-21.0,764,12953
64,-21.0,764,13141
65,-21.0,764,13329
66,-21.0,764,13512
67,-21.0,783,13704
68,-21.0,764,13887
69,-21.0,764,14071
70,-21.0,764,14257
71,-21.0,826,14454
72,-21.0,764,14637
73,-21.0,792,14830
74,-21.0,792,15019
75,-21.0,764,15202
76,-21.0,764,15387
77,-21.0,764,15574
78,-21.0,764,15759
79,-21.0,824,15961
80,-21.0,764,16148
81,-21.0,764,16332
82,-21.0,764,16514
83,-21.0,764,16697
84,-21.0,764,16883
85,-21.0,764,17071
86,-21.0,764,17259
87,-20.0,940,17486
88,-21.0,764,17670
89,-21.0,933,17900
90,-21.0,764,18087
91,-21.0,783,18278
92,-21.0,764,18466
93,-21.0,783,18657
94,-21.0,825,18859
95,-21.0,826,19060
96,-21.0,764,19247
97,-21.0,764,19433
98,-21.0,783,19621
99,-21.0,840,19825
